Date,Price,Open,High,Low,Vol.,Change %
"May 08, 2020",1713.9,1727.2,1735.5,1703.1,-,-0.69%
"May 07, 2020",1725.8,1686,1733.2,1683.9,-,2.21%
"May 06, 2020",1688.5,1714.1,1716.6,1683,-,-1.29%
"May 05, 2020",1710.6,1711,1717.8,1695.4,184.73K,-0.16%
"May 04, 2020",1713.3,1711.2,1726,1700.3,148.73K,0.73%
"May 01, 2020",1700.9,1693.5,1714.4,1676,168.02K,0.40%
"Apr 30, 2020",1694.2,1729.6,1737,1687.5,234.53K,-1.12%
"Apr 29, 2020",1713.4,1724.8,1733.5,1708.2,159.60K,-0.51%
"Apr 28, 2020",1722.2,1724.4,1731.9,1704.1,171.34K,-0.09%
"Apr 27, 2020",1723.8,1745,1745.8,1720,146.64K,-0.68%
"Apr 24, 2020",1735.6,1753,1760.2,1725.4,180.24K,-0.56%
"Apr 23, 2020",1745.4,1736.5,1764.2,1730.6,201.88K,0.41%
"Apr 22, 2020",1738.3,1703.1,1742.4,1695.4,193.73K,2.99%
"Apr 21, 2020",1687.8,1713.3,1718,1666.2,248.63K,-1.37%
"Apr 20, 2020",1711.2,1693,1718.4,1685,186.91K,0.73%
"Apr 17, 2020",1698.8,1738.5,1738.8,1691.2,227.07K,-1.90%
"Apr 16, 2020",1731.7,1743.5,1768,1722.6,204.23K,-0.49%
"Apr 15, 2020",1740.2,1758.1,1759.8,1731.6,186.70K,-1.62%
"Apr 14, 2020",1768.9,1761.5,1788.8,1747.1,241.19K,0.43%
"Apr 13, 2020",1761.4,1742.3,1772.8,1724.2,166.89K,1.19%
"Apr 10, 2020",1740.6,1740.6,1740.6,1740.6,-,-0.70%
"Apr 09, 2020",1752.8,1680.5,1754.5,1676.5,218.80K,4.07%
"Apr 08, 2020",1684.3,1678.7,1695.8,1670.7,125.33K,0.04%
"Apr 07, 2020",1683.7,1707.1,1742.6,1672,204.50K,-0.60%
"Apr 06, 2020",1693.9,1647.7,1715.8,1638.2,192.75K,2.93%
"Apr 03, 2020",1645.7,1635.3,1652.8,1624.4,139.61K,0.49%
"Apr 02, 2020",1637.7,1602.4,1645.6,1595.2,167.71K,2.91%
"Apr 01, 2020",1591.4,1589.4,1612.4,1576,164.48K,-0.33%
"Mar 31, 2020",1596.6,1643.4,1645.6,1588.2,176.55K,-2.84%
"Mar 30, 2020",1643.2,1663.4,1673.6,1632,157.37K,-0.66%
"Mar 27, 2020",1654.1,1653.4,1661,1630.7,159.26K,-0.37%
"Mar 26, 2020",1660.3,1642.2,1677.2,1612,145.43K,1.59%
"Mar 25, 2020",1634.3,1665.5,1698,1609,107.99K,-1.74%
"Mar 24, 2020",1663.3,1566.3,1693.5,1566.3,175.51K,5.76%
"Mar 23, 2020",1572.7,1508.4,1574.8,1489.4,98.80K,5.69%
"Mar 20, 2020",1488.1,1474.7,1522.5,1460.9,46.27K,0.39%
"Mar 19, 2020",1482.3,1489.7,1505.2,1462.8,64.61K,0.11%
"Mar 18, 2020",1480.6,1533.7,1548.9,1476,73.22K,-3.11%
"Mar 17, 2020",1528.1,1505.8,1556.4,1468.6,73.57K,2.65%
"Mar 16, 2020",1488.6,1564.8,1576,1453,73.79K,-2.03%
"Mar 13, 2020",1519.5,1581,1600.4,1507,75.40K,-4.63%
"Mar 12, 2020",1593.2,1638.7,1654,1563.4,94.80K,-3.17%
"Mar 11, 2020",1645.4,1652.4,1674.7,1635.7,85.84K,-1.08%
"Mar 10, 2020",1663.3,1683.4,1683.5,1644.5,52.24K,-0.91%
"Mar 09, 2020",1678.6,1694.5,1707.8,1660.8,54.57K,0.15%
"Mar 06, 2020",1676.1,1676.9,1696.5,1646.2,71.20K,0.25%
"Mar 05, 2020",1672,1642.7,1679.2,1641.5,27.67K,1.51%
"Mar 04, 2020",1647.2,1643,1658.6,1637.4,28.13K,-0.10%
"Mar 03, 2020",1648.9,1594.3,1654.7,1594.3,34.66K,3.09%
"Mar 02, 2020",1599.5,1598.4,1616.5,1581.2,23.69K,1.76%
"Feb 28, 2020",1571.8,1651.7,1656.1,1569.1,65.34K,-4.64%
"Feb 27, 2020",1648.2,1649.9,1668.2,1642.4,22.88K,-0.04%
"Feb 26, 2020",1648.9,1643,1662.7,1632.4,20.86K,-0.42%
"Feb 25, 2020",1655.8,1670,1670,1632.6,23.32K,-1.58%
"Feb 24, 2020",1682.4,1660.3,1697,1658.8,40.17K,1.68%
"Feb 21, 2020",1654.6,1628.3,1657.4,1627.6,19.99K,1.75%
"Feb 20, 2020",1626.2,1620,1632,1612.6,15.70K,0.54%
"Feb 19, 2020",1617.5,1610.2,1621.5,1608.1,6.16K,0.51%
"Feb 18, 2020",1609.3,1590.4,1613.8,1587.5,17.65K,1.40%
"Feb 17, 2020",1587.05,1586.15,1588.45,1581.85,-,0.05%
"Feb 16, 2020",1586.25,1585.5,1586.25,1583.45,-,-0.35%
"Feb 14, 2020",1591.9,1585.3,1593.6,1581.9,16.79K,0.47%
"Feb 13, 2020",1584.5,1574.6,1587,1574.5,4.72K,0.46%
"Feb 12, 2020",1577.3,1576.7,1579.2,1570.5,17.80K,0.09%
"Feb 11, 2020",1575.9,1581.6,1583.1,1570.9,12.95K,-0.60%
"Feb 10, 2020",1585.4,1581.6,1586.3,1577.8,4.94K,0.39%
"Feb 07, 2020",1579.2,1575.7,1583.3,1570,5.77K,0.22%
"Feb 06, 2020",1575.8,1564.5,1577.6,1562,3.20K,0.45%
"Feb 05, 2020",1568.7,1563.4,1571.7,1556.9,10.77K,0.47%
"Feb 04, 2020",1561.4,1588.4,1589.6,1558.7,6.79K,-1.69%
"Feb 03, 2020",1588.3,1603.6,1603.9,1579.1,3.91K,-0.35%
"Jan 31, 2020",1593.8,1584.9,1601.2,1581.2,6.87K,-0.08%
"Jan 30, 2020",1595.1,1587.3,1596.5,1583.1,13.36K,0.83%
"Jan 29, 2020",1582,1579.3,1588.6,1574,19.45K,0.02%
"Jan 28, 2020",1581.7,1592.4,1592.9,1576.5,15.01K,-0.49%
"Jan 27, 2020",1589.5,1592.5,1599.7,1587.5,9.61K,0.35%
"Jan 24, 2020",1583.9,1574,1587.2,1568.4,9.74K,0.42%
"Jan 23, 2020",1577.3,1572,1579.3,1563.7,6.14K,0.55%
"Jan 22, 2020",1568.7,1568,1570.8,1562.3,4.61K,-0.08%
"Jan 21, 2020",1569.9,1570.4,1580.7,1557.8,7.60K,0.55%
"Jan 20, 2020",1561.25,1557.2,1562.7,1556.65,-,0.27%
"Jan 19, 2020",1557.05,1557.4,1559.05,1556.45,-,-0.97%
"Jan 17, 2020",1572.3,1564.8,1572.9,1561.4,8.24K,0.65%
"Jan 16, 2020",1562.2,1567.7,1569.7,1560,4.73K,-0.22%
"Jan 15, 2020",1565.6,1559.3,1570.4,1559.2,3.84K,0.58%
"Jan 14, 2020",1556.5,1560.1,1561.4,1548.4,5.44K,-0.40%
"Jan 13, 2020",1562.7,1575.1,1575.1,1559,5.33K,-0.60%
"Jan 10, 2020",1572.1,1566.5,1575.3,1559,6.63K,0.36%
"Jan 09, 2020",1566.4,1569.5,1574,1553.4,4.49K,-0.38%
"Jan 08, 2020",1572.3,1590.3,1624.5,1565.9,7.21K,-0.88%
"Jan 07, 2020",1586.3,1578.6,1590.4,1570,10.57K,0.34%
"Jan 06, 2020",1580.9,1577.9,1600,1575,6.61K,1.05%
"Jan 03, 2020",1564.5,1543.9,1567.6,1543.9,4.48K,1.58%
"Jan 02, 2020",1540.1,1535.5,1545.6,1532,2.07K,1.26%
"Jan 01, 2020",1520.95,1520.85,1523.95,1520.85,-,-0.92%
"Dec 31, 2019",1535.1,1529.6,1539.7,1529.6,1.33K,0.31%
"Dec 30, 2019",1530.3,1527,1530.7,1525.4,1.96K,0.04%
"Dec 27, 2019",1529.7,1526.5,1530.3,1523.8,1.09K,0.26%
"Dec 26, 2019",1525.7,1514.6,1528.3,1513.9,0.71K,1.44%
"Dec 25, 2019",1504.05,1504.4,1504.4,1502.15,-,-0.79%
"Dec 24, 2019",1516,1499.5,1516.2,1499.5,2.13K,1.07%
"Dec 23, 2019",1499.9,1492.5,1500.4,1492.5,1.07K,0.53%
"Dec 20, 2019",1492,1494.6,1495.6,1491,0.22K,-0.23%
"Dec 19, 2019",1495.5,1490.9,1496.7,1488.6,1.52K,0.38%
"Dec 18, 2019",1489.9,1491.6,1494.8,1486,3.25K,-0.13%
"Dec 17, 2019",1491.9,1491.6,1495.8,1490,1.38K,0.02%
"Dec 16, 2019",1491.6,1491.4,1494.7,1488.7,3.09K,-0.05%
