Date,exchange_rate,
1999-08-30,1.0466,0.955474871
1999-08-31,1.0573,0.9458053533
1999-09-01,1.0586,0.9446438693
1999-09-02,1.0679,0.9364172675
1999-09-03,1.0613,0.9422406483
1999-09-07,1.0586,0.9446438693
1999-09-08,1.0592,0.9441087613
1999-09-09,1.0541,0.9486765961
1999-09-10,1.0363,0.9649715333
1999-09-13,1.0417,0.959969281
1999-09-14,1.0352,0.9659969088
1999-09-15,1.0392,0.9622786759
1999-09-16,1.0378,0.9635767971
1999-09-17,1.0408,0.9607993851
1999-09-20,1.0352,0.9659969088
1999-09-21,1.0488,0.9534706331
1999-09-22,1.0436,0.9582215408
1999-09-23,1.0485,0.953743443
1999-09-24,1.0442,0.9576709443
1999-09-27,1.0469,0.9552010698
1999-09-28,1.053,0.9496676163
1999-09-29,1.0644,0.9394964299
1999-09-30,1.0695,0.9350163628
1999-10-01,1.0724,0.9324878777
1999-10-04,1.0737,0.9313588526
1999-10-05,1.0734,0.9316191541
1999-10-06,1.0689,0.9355412106
1999-10-07,1.0714,0.9333582229
1999-10-08,1.063,0.9407337723
1999-10-11,1.0643,0.9395847036
1999-10-12,1.0759,0.9294544103
1999-10-13,1.0802,0.9257544899
1999-10-14,1.0785,0.9272137228
1999-10-15,1.0887,0.9185266832
1999-10-18,1.083,0.9233610342
1999-10-19,1.0832,0.9231905465
1999-10-20,1.0739,0.931185399
1999-10-21,1.0806,0.9254118083
1999-10-22,1.0684,0.9359790341
1999-10-25,1.0667,0.937470704
1999-10-26,1.0587,0.9445546425
1999-10-27,1.0505,0.9519276535
1999-10-28,1.0512,0.9512937595
1999-10-29,1.0541,0.9486765961
1999-11-01,1.0503,0.9521089213
1999-11-02,1.0518,0.9507510934
1999-11-03,1.0484,0.9538344143
1999-11-04,1.0372,0.9641342075
1999-11-05,1.0419,0.9597850082
1999-11-08,1.0384,0.9630200308
1999-11-09,1.0402,0.9613535858
1999-11-10,1.0442,0.9576709443
1999-11-11,1.0412,0.9604302728
1999-11-12,1.0315,0.9694619486
1999-11-15,1.033,0.968054211
1999-11-16,1.0309,0.9700261907
1999-11-17,1.0407,0.9608917075
1999-11-18,1.0294,0.9714396736
1999-11-19,1.0304,0.9704968944
1999-11-22,1.0315,0.9694619486
1999-11-23,1.0279,0.9728572818
1999-11-24,1.0188,0.9815469179
1999-11-26,1.0162,0.9840582562
1999-11-29,1.0095,0.9905894007
1999-11-30,1.0089,0.9911785112
1999-12-01,1.0081,0.9919650828
1999-12-02,1.0012,0.9988014383
1999-12-03,1.002,0.998003992
1999-12-06,1.0224,0.9780907668
1999-12-07,1.0255,0.9751340809
1999-12-08,1.0276,0.9731413001
1999-12-09,1.0206,0.9798157946
1999-12-10,1.0125,0.987654321
1999-12-13,1.0138,0.9863878477
1999-12-14,1.0055,0.9945300845
1999-12-15,1.0063,0.9937394415
1999-12-16,1.0162,0.9840582562
1999-12-17,1.0086,0.9914733294
1999-12-20,1.0137,0.9864851534
1999-12-21,1.0098,0.9902951079
1999-12-22,1.0087,0.9913750372
1999-12-23,1.0153,0.9849305624
1999-12-27,1.0121,0.9880446596
1999-12-28,1.0066,0.9934432744
1999-12-29,1.004,0.9960159363
1999-12-30,1.0066,0.9934432744
1999-12-31,1.0088,0.9912767645
2000-01-03,1.0088,0.9912767645
2000-01-04,1.0301,0.970779536
2000-01-05,1.0315,0.9694619486
2000-01-06,1.0315,0.9694619486
2000-01-07,1.0296,0.9712509713
2000-01-10,1.0254,0.9752291789
2000-01-11,1.0331,0.9679605072
2000-01-12,1.0308,0.9701202949
2000-01-13,1.0252,0.9754194304
2000-01-14,1.0142,0.9859988168
2000-01-18,1.0135,0.9866798224
2000-01-19,1.0125,0.987654321
2000-01-20,1.0175,0.9828009828
2000-01-21,1.0085,0.9915716411
2000-01-24,1.007,0.9930486594
2000-01-25,1.0009,0.9991008093
2000-01-26,1.0014,0.9986019573
2000-01-27,0.9882,1.0119409027
2000-01-28,0.9769,1.0236462279
2000-01-31,0.9688,1.0322047894
2000-02-01,0.9721,1.028700751
2000-02-02,0.9765,1.0240655402
2000-02-03,0.99,1.0101010101
2000-02-04,0.9821,1.0182262499
2000-02-07,0.98,1.0204081633
2000-02-08,0.986,1.014198783
2000-02-09,0.9927,1.0073536819
2000-02-10,0.9851,1.015125368
2000-02-11,0.9866,1.0135819988
2000-02-14,0.98,1.0204081633
2000-02-15,0.981,1.0193679918
2000-02-16,0.9865,1.013684744
2000-02-17,0.988,1.012145749
2000-02-18,0.9848,1.015434606
2000-02-22,1.0037,0.9963136395
2000-02-23,1.0034,0.9966115208
2000-02-24,0.9924,1.0076582023
2000-02-25,0.9744,1.026272578
2000-02-28,0.9714,1.0294420424
2000-02-29,0.9645,1.0368066356
2000-03-01,0.9732,1.0275380189
2000-03-02,0.9651,1.0361620557
2000-03-03,0.9582,1.0436234607
2000-03-06,0.9586,1.0431879825
2000-03-07,0.9581,1.043732387
2000-03-08,0.9607,1.0409076715
2000-03-09,0.9667,1.034447088
2000-03-10,0.9632,1.0382059801
2000-03-13,0.9633,1.0380982041
2000-03-14,0.9681,1.0329511414
2000-03-15,0.9668,1.034340091
2000-03-16,0.969,1.0319917441
2000-03-17,0.9718,1.0290183165
2000-03-20,0.9729,1.0278548669
2000-03-21,0.9608,1.0407993339
2000-03-22,0.9606,1.0410160316
2000-03-23,0.9715,1.0293360782
2000-03-24,0.9753,1.0253255409
2000-03-27,0.9671,1.0340192328
2000-03-28,0.9594,1.0423181155
2000-03-29,0.9512,1.0513036165
2000-03-30,0.9615,1.0400416017
2000-03-31,0.9554,1.046682018
2000-04-03,0.9555,1.0465724751
2000-04-04,0.9592,1.0425354462
2000-04-05,0.9623,1.0391769718
2000-04-06,0.9583,1.043514557
2000-04-07,0.9545,1.0476689366
2000-04-10,0.9623,1.0391769718
2000-04-11,0.959,1.0427528676
2000-04-12,0.9587,1.0430791697
2000-04-13,0.9528,1.0495382032
2000-04-14,0.962,1.0395010395
2000-04-17,0.9523,1.0500892576
2000-04-18,0.9453,1.057865228
2000-04-19,0.9401,1.0637166259
2000-04-20,0.9383,1.0657572205
2000-04-24,0.9378,1.0663254425
2000-04-25,0.9203,1.0866021949
2000-04-26,0.923,1.0834236186
2000-04-27,0.9093,1.0997470582
2000-04-28,0.9113,1.0973334796
2000-05-01,0.9154,1.0924186148
2000-05-02,0.9093,1.0997470582
2000-05-03,0.8941,1.1184431272
2000-05-04,0.8896,1.1241007194
2000-05-05,0.8971,1.1147029317
2000-05-08,0.8974,1.1143302875
2000-05-09,0.9073,1.1021712774
2000-05-10,0.9065,1.1031439603
2000-05-11,0.9014,1.1093854005
2000-05-12,0.918,1.0893246187
2000-05-15,0.9112,1.0974539069
2000-05-16,0.9003,1.1107408642
2000-05-17,0.8948,1.1175681717
2000-05-18,0.8945,1.1179429849
2000-05-19,0.897,1.1148272018
2000-05-22,0.9028,1.1076650421
2000-05-23,0.9066,1.1030222811
2000-05-24,0.9038,1.1064394778
2000-05-25,0.9113,1.0973334796
2000-05-26,0.9307,1.0744600838
2000-05-30,0.9301,1.0751532093
2000-05-31,0.9373,1.0668942708
2000-06-01,0.9309,1.0742292405
2000-06-02,0.9458,1.0573059844
2000-06-05,0.9477,1.0551862404
2000-06-06,0.9542,1.0479983232
2000-06-07,0.9613,1.040257984
2000-06-08,0.9559,1.0461345329
2000-06-09,0.953,1.0493179433
2000-06-12,0.9532,1.0490977759
2000-06-13,0.9594,1.0423181155
2000-06-14,0.9577,1.0441683199
2000-06-15,0.9544,1.0477787091
2000-06-16,0.9645,1.0368066356
2000-06-19,0.9564,1.0455876202
2000-06-20,0.9545,1.0476689366
2000-06-21,0.9443,1.0589854919
2000-06-22,0.9354,1.0690613641
2000-06-23,0.9351,1.0694043418
2000-06-26,0.9365,1.0678056594
2000-06-27,0.9452,1.0579771477
2000-06-28,0.941,1.0626992561
2000-06-29,0.9515,1.0509721492
2000-06-30,0.9525,1.0498687664
2000-07-03,0.95,1.0526315789
2000-07-05,0.9527,1.0496483678
2000-07-06,0.9507,1.0518565268
2000-07-07,0.9481,1.0547410611
2000-07-10,0.9549,1.0472300764
2000-07-11,0.9524,1.0499790004
2000-07-12,0.9423,1.0612331529
2000-07-13,0.9371,1.067121972
2000-07-14,0.938,1.066098081
2000-07-17,0.9361,1.0682619378
2000-07-18,0.9251,1.0809642201
2000-07-19,0.9244,1.081782778
2000-07-20,0.933,1.0718113612
2000-07-21,0.9369,1.0673497705
2000-07-24,0.9332,1.0715816545
2000-07-25,0.9382,1.0658708165
2000-07-26,0.9429,1.0605578534
2000-07-27,0.9314,1.073652566
2000-07-28,0.9231,1.0833062507
2000-07-31,0.926,1.0799136069
2000-08-01,0.9141,1.0939722131
2000-08-02,0.9135,1.0946907499
2000-08-03,0.9065,1.1031439603
2000-08-04,0.9079,1.1014428902
2000-08-07,0.9069,1.1026574043
2000-08-08,0.902,1.1086474501
2000-08-09,0.9006,1.1103708639
2000-08-10,0.9083,1.1009578333
2000-08-11,0.9034,1.1069293779
2000-08-14,0.9056,1.1042402827
2000-08-15,0.913,1.0952902519
2000-08-16,0.9158,1.0919414719
2000-08-17,0.9162,1.0914647457
2000-08-18,0.9063,1.1033873993
2000-08-21,0.9016,1.1091393079
2000-08-22,0.8963,1.115697869
2000-08-23,0.9016,1.1091393079
2000-08-24,0.9024,1.1081560284
2000-08-25,0.902,1.1086474501
2000-08-28,0.8997,1.111481605
2000-08-29,0.8921,1.1209505661
2000-08-30,0.8938,1.1188185276
2000-08-31,0.8877,1.1265067027
2000-09-01,0.8996,1.1116051578
2000-09-05,0.8895,1.1242270939
2000-09-06,0.8701,1.1492931847
2000-09-07,0.8712,1.1478420569
2000-09-08,0.8666,1.1539349181
2000-09-11,0.8574,1.1663167716
2000-09-12,0.8637,1.1578094246
2000-09-13,0.8592,1.1638733706
2000-09-14,0.8643,1.1570056693
2000-09-15,0.8538,1.1712344811
2000-09-18,0.8534,1.1717834544
2000-09-19,0.8505,1.1757789536
2000-09-20,0.8488,1.178133836
2000-09-21,0.8595,1.1634671321
2000-09-22,0.8764,1.1410314925
2000-09-25,0.8743,1.1437721606
2000-09-26,0.883,1.1325028313
2000-09-27,0.8831,1.1323745895
2000-09-28,0.8785,1.1383039271
2000-09-29,0.8831,1.1323745895
2000-10-02,0.8765,1.140901312
2000-10-03,0.8755,1.1422044546
2000-10-04,0.8748,1.1431184271
2000-10-05,0.869,1.1507479862
2000-10-06,0.8683,1.1516756881
2000-10-09,0.8683,1.1516756881
2000-10-10,0.8717,1.1471836641
2000-10-11,0.8682,1.1518083391
2000-10-12,0.863,1.1587485516
2000-10-13,0.855,1.1695906433
2000-10-16,0.8495,1.1771630371
2000-10-17,0.854,1.1709601874
2000-10-18,0.8389,1.1920371916
2000-10-19,0.8432,1.1859582543
2000-10-20,0.8414,1.1884953649
2000-10-23,0.8357,1.1966016513
2000-10-24,0.8355,1.196888091
2000-10-25,0.8271,1.2090436465
2000-10-26,0.8295,1.2055455093
2000-10-27,0.8389,1.1920371916
2000-10-30,0.8405,1.1897679952
2000-10-31,0.8485,1.178550383
2000-11-01,0.8613,1.1610356438
2000-11-02,0.858,1.1655011655
2000-11-03,0.8668,1.1536686664
2000-11-06,0.8619,1.1602274046
2000-11-07,0.8603,1.1623852145
2000-11-08,0.8552,1.1693171188
2000-11-09,0.8672,1.1531365314
2000-11-10,0.8596,1.1633317822
2000-11-13,0.8568,1.1671335201
2000-11-14,0.8582,1.1652295502
2000-11-15,0.8576,1.1660447761
2000-11-16,0.8533,1.1719207782
2000-11-17,0.8481,1.1791062375
2000-11-20,0.8508,1.175364363
2000-11-21,0.8432,1.1859582543
2000-11-22,0.8448,1.1837121212
2000-11-24,0.8383,1.1928903734
2000-11-27,0.8523,1.1732957879
2000-11-28,0.8561,1.1680878402
2000-11-29,0.8569,1.1669973159
2000-11-30,0.8726,1.1460004584
2000-12-01,0.8793,1.1372682816
2000-12-04,0.887,1.1273957159
2000-12-05,0.8797,1.1367511652
2000-12-06,0.8921,1.1209505661
2000-12-07,0.8899,1.1237217665
2000-12-08,0.8879,1.1262529564
2000-12-11,0.8775,1.1396011396
2000-12-12,0.8794,1.1371389584
2000-12-13,0.8767,1.1406410403
2000-12-14,0.8921,1.1209505661
2000-12-15,0.8943,1.1181930001
2000-12-18,0.8948,1.1175681717
2000-12-19,0.8952,1.1170688114
2000-12-20,0.9094,1.0996261271
2000-12-21,0.9166,1.0909884355
2000-12-22,0.9231,1.0833062507
2000-12-26,0.9307,1.0744600838
2000-12-27,0.9304,1.0748065348
2000-12-28,0.9295,1.0758472297
2000-12-29,0.9422,1.0613457865
2001-01-02,0.951,1.0515247108
2001-01-03,0.927,1.0787486516
2001-01-04,0.9494,1.053296819
2001-01-05,0.9573,1.0446046172
2001-01-08,0.9469,1.0560777273
2001-01-09,0.9438,1.0595465141
2001-01-10,0.9363,1.0680337499
2001-01-11,0.9523,1.0500892576
2001-01-12,0.9515,1.0509721492
2001-01-16,0.942,1.0615711253
2001-01-17,0.9356,1.0688328345
2001-01-18,0.9429,1.0605578534
2001-01-19,0.9338,1.0708931249
2001-01-22,0.9384,1.0656436488
2001-01-23,0.9364,1.0679196924
2001-01-24,0.9215,1.0851871948
2001-01-25,0.9239,1.0823682217
2001-01-26,0.9238,1.0824853864
2001-01-29,0.9165,1.0911074741
2001-01-30,0.9263,1.0795638562
2001-01-31,0.9368,1.0674637062
2001-02-01,0.938,1.066098081
2001-02-02,0.9358,1.0686044027
2001-02-05,0.9373,1.0668942708
2001-02-06,0.9311,1.0739984964
2001-02-07,0.9283,1.0772379619
2001-02-08,0.9178,1.0895619961
2001-02-09,0.9244,1.081782778
2001-02-12,0.9316,1.0734220696
2001-02-13,0.9195,1.0875475802
2001-02-14,0.9176,1.0897994769
2001-02-15,0.9047,1.1053387863
2001-02-16,0.9141,1.0939722131
2001-02-20,0.9121,1.096371012
2001-02-21,0.9087,1.1004732035
2001-02-22,0.9048,1.1052166225
2001-02-23,0.9173,1.0901558923
2001-02-26,0.9104,1.0984182777
2001-02-27,0.9186,1.0886131069
2001-02-28,0.9232,1.0831889081
2001-03-01,0.9298,1.0755001076
2001-03-02,0.9354,1.0690613641
2001-03-05,0.9284,1.0771219302
2001-03-06,0.934,1.0706638116
2001-03-07,0.9294,1.0759629869
2001-03-08,0.9324,1.0725010725
2001-03-09,0.933,1.0718113612
2001-03-12,0.9279,1.0777023386
2001-03-13,0.9149,1.0930156301
2001-03-14,0.9116,1.0969723563
2001-03-15,0.8965,1.1154489682
2001-03-16,0.8972,1.1145786893
2001-03-19,0.899,1.1123470523
2001-03-20,0.9093,1.0997470582
2001-03-21,0.8956,1.1165698973
2001-03-22,0.8886,1.1253657439
2001-03-23,0.8901,1.1234692731
2001-03-26,0.896,1.1160714286
2001-03-27,0.893,1.1198208287
2001-03-28,0.886,1.1286681716
2001-03-29,0.883,1.1325028313
2001-03-30,0.8759,1.1416828405
2001-04-02,0.8794,1.1371389584
2001-04-03,0.8976,1.1140819964
2001-04-04,0.901,1.1098779134
2001-04-05,0.8961,1.1159468809
2001-04-06,0.9042,1.1059500111
2001-04-09,0.8968,1.1150758252
2001-04-10,0.8888,1.1251125113
2001-04-11,0.888,1.1261261261
2001-04-12,0.8915,1.1217049916
2001-04-16,0.888,1.1261261261
2001-04-17,0.8834,1.1319900385
2001-04-18,0.8824,1.1332728921
2001-04-19,0.898,1.1135857461
2001-04-20,0.9018,1.1088933245
2001-04-23,0.8976,1.1140819964
2001-04-24,0.8939,1.1186933661
2001-04-25,0.8968,1.1150758252
2001-04-26,0.9029,1.1075423635
2001-04-27,0.8918,1.1213276519
2001-04-30,0.8868,1.1276499774
2001-05-01,0.8933,1.1194447554
2001-05-02,0.8939,1.1186933661
2001-05-03,0.8896,1.1241007194
2001-05-04,0.8924,1.1205737338
2001-05-07,0.8905,1.1229646266
2001-05-08,0.8846,1.1304544427
2001-05-09,0.8853,1.1295606009
2001-05-10,0.8813,1.1346873936
2001-05-11,0.8752,1.1425959781
2001-05-14,0.8742,1.143902997
2001-05-15,0.8785,1.1383039271
2001-05-16,0.8833,1.1321181931
2001-05-17,0.8828,1.1327594019
2001-05-18,0.8804,1.1358473421
2001-05-21,0.8772,1.1399908801
2001-05-22,0.8647,1.1564704522
2001-05-23,0.8568,1.1671335201
2001-05-24,0.856,1.1682242991
2001-05-25,0.8604,1.1622501162
2001-05-29,0.8552,1.1693171188
2001-05-30,0.8568,1.1671335201
2001-05-31,0.8458,1.1823126035
2001-06-01,0.846,1.1820330969
2001-06-04,0.8462,1.1817537225
2001-06-05,0.8542,1.170686022
2001-06-06,0.8482,1.1789672247
2001-06-07,0.8502,1.1761938367
2001-06-08,0.8504,1.1759172154
2001-06-11,0.843,1.1862396204
2001-06-12,0.8536,1.1715089035
2001-06-13,0.8545,1.1702750146
2001-06-14,0.8625,1.1594202899
2001-06-15,0.861,1.1614401858
2001-06-18,0.8612,1.1611704598
2001-06-19,0.8535,1.1716461629
2001-06-20,0.8547,1.17000117
2001-06-21,0.8548,1.1698642957
2001-06-22,0.8571,1.1667250029
2001-06-25,0.8591,1.1640088465
2001-06-26,0.8631,1.1586142973
2001-06-27,0.8593,1.1637379262
2001-06-28,0.8439,1.184974523
2001-06-29,0.8493,1.1774402449
2001-07-02,0.8471,1.1804981702
2001-07-03,0.8477,1.1796626165
2001-07-05,0.8369,1.1948858884
2001-07-06,0.8469,1.1807769512
2001-07-09,0.8512,1.1748120301
2001-07-10,0.855,1.1695906433
2001-07-11,0.8598,1.163061177
2001-07-12,0.8536,1.1715089035
2001-07-13,0.8547,1.17000117
2001-07-16,0.8529,1.1724703951
2001-07-17,0.8588,1.1644154634
2001-07-18,0.8731,1.1453441759
2001-07-19,0.8704,1.1488970588
2001-07-20,0.8714,1.1475786091
2001-07-23,0.8685,1.1514104778
2001-07-24,0.8746,1.1433798308
2001-07-25,0.8803,1.1359763717
2001-07-26,0.878,1.138952164
2001-07-27,0.8777,1.1393414606
2001-07-30,0.8742,1.143902997
2001-07-31,0.8756,1.1420740064
2001-08-01,0.881,1.1350737798
2001-08-02,0.8834,1.1319900385
2001-08-03,0.8839,1.1313497002
2001-08-06,0.8816,1.1343012704
2001-08-07,0.8774,1.1397310235
2001-08-08,0.8802,1.1361054306
2001-08-09,0.8921,1.1209505661
2001-08-10,0.893,1.1198208287
2001-08-13,0.8959,1.116196004
2001-08-14,0.9029,1.1075423635
2001-08-15,0.9148,1.0931351115
2001-08-16,0.9119,1.0966114706
2001-08-17,0.918,1.0893246187
2001-08-20,0.9143,1.0937329104
2001-08-21,0.9176,1.0897994769
2001-08-22,0.9148,1.0931351115
2001-08-23,0.9151,1.0927767457
2001-08-24,0.9137,1.0944511328
2001-08-27,0.9112,1.0974539069
2001-08-28,0.9122,1.0962508222
2001-08-29,0.909,1.100110011
2001-08-30,0.9161,1.0915838882
2001-08-31,0.9125,1.095890411
2001-09-04,0.888,1.1261261261
2001-09-05,0.885,1.1299435028
2001-09-06,0.8964,1.1155734047
2001-09-07,0.9071,1.1024142873
2001-09-10,0.8977,1.1139578924
2001-09-11,0.9146,1.0933741526
2001-09-12,0.9069,1.1026574043
2001-09-13,0.9113,1.0973334796
2001-09-14,0.921,1.0857763301
2001-09-17,0.9235,1.082837033
2001-09-18,0.9273,1.0783996549
2001-09-19,0.9275,1.0781671159
2001-09-20,0.9273,1.0783996549
2001-09-21,0.9147,1.093254619
2001-09-24,0.9167,1.0908694229
2001-09-25,0.9223,1.084245907
2001-09-26,0.923,1.0834236186
2001-09-27,0.9178,1.0895619961
2001-09-28,0.9112,1.0974539069
2001-10-01,0.9171,1.0903936321
2001-10-02,0.9188,1.0883761428
2001-10-03,0.9143,1.0937329104
2001-10-04,0.9181,1.0892059688
2001-10-05,0.9181,1.0892059688
2001-10-08,0.921,1.0857763301
2001-10-09,0.9125,1.095890411
2001-10-10,0.9102,1.0986596352
2001-10-11,0.9021,1.1085245538
2001-10-12,0.911,1.0976948408
2001-10-15,0.9086,1.1005943209
2001-10-16,0.9082,1.1010790575
2001-10-17,0.9035,1.1068068622
2001-10-18,0.9039,1.1063170705
2001-10-19,0.8987,1.112718371
2001-10-22,0.8919,1.1212019285
2001-10-23,0.8903,1.1232168932
2001-10-24,0.8936,1.1190689346
2001-10-25,0.8923,1.1206993164
2001-10-26,0.893,1.1198208287
2001-10-29,0.9045,1.1055831951
2001-10-30,0.9045,1.1055831951
2001-10-31,0.8996,1.1116051578
2001-11-01,0.9017,1.1090163025
2001-11-02,0.9029,1.1075423635
2001-11-05,0.8978,1.113833816
2001-11-06,0.8943,1.1181930001
2001-11-07,0.8983,1.1132138484
2001-11-08,0.8923,1.1206993164
2001-11-09,0.8941,1.1184431272
2001-11-12,0.8939,1.1186933661
2001-11-13,0.8802,1.1361054306
2001-11-14,0.8824,1.1332728921
2001-11-15,0.8817,1.1341726211
2001-11-16,0.8842,1.1309658448
2001-11-19,0.8784,1.1384335155
2001-11-20,0.8833,1.1321181931
2001-11-21,0.8783,1.1385631333
2001-11-23,0.8775,1.1396011396
2001-11-26,0.88,1.1363636364
2001-11-27,0.8831,1.1323745895
2001-11-28,0.8877,1.1265067027
2001-11-29,0.8872,1.127141569
2001-11-30,0.8964,1.1155734047
2001-12-03,0.8913,1.1219566925
2001-12-04,0.8901,1.1234692731
2001-12-05,0.8883,1.1257458066
2001-12-06,0.8948,1.1175681717
2001-12-07,0.8897,1.1239743734
2001-12-10,0.8906,1.1228385358
2001-12-11,0.8927,1.1201971547
2001-12-12,0.8983,1.1132138484
