Date,Adj Close,Volume
4/16/08,9203.759766,4260370000
4/17/08,9173.80957,3713880000
4/18/08,9310.240234,4222380000
4/21/08,9312.290039,3420570000
4/22/08,9227.969727,3821900000
4/23/08,9237.290039,4103610000
4/24/08,9250.219727,4461660000
4/25/08,9344.30957,3891150000
4/28/08,9349.610352,3607000000
4/29/08,9285.910156,3815320000
4/30/08,9299.599609,4508890000
5/1/08,9395.040039,4448780000
5/2/08,9451.169922,0
5/5/08,9438.099609,3410090000
5/6/08,9510.980469,3924100000
5/7/08,9339.469727,4075860000
5/8/08,9388.540039,3827550000
5/9/08,9327.969727,3518620000
5/12/08,9417.969727,3370630000
5/13/08,9410.459961,4018590000
5/14/08,9437.450195,3979370000
5/15/08,9553.519531,3836480000
5/16/08,9603.009766,3842590000
5/19/08,9602.780273,3683970000
5/20/08,9536.009766,3854320000
5/21/08,9397.030273,4517990000
5/22/08,9433.349609,3955960000
5/23/08,9315.780273,3516380000
5/27/08,9314.019531,3588860000
5/28/08,9364.339844,3927240000
5/29/08,9371.870117,3894440000
5/30/08,9401.080078,3845630000
6/2/08,9316.610352,3714320000
6/3/08,9262,4396380000
6/4/08,9212.759766,4338640000
6/5/08,9408.490234,4350790000
6/6/08,9152.509766,4771660000
6/9/08,9149.089844,4404570000
6/10/08,9067.099609,4635070000
6/11/08,8941.269531,4779980000
6/12/08,8947.730469,4734240000
6/13/08,9063.230469,4080420000
6/16/08,9087.879883,3706940000
6/17/08,9074.410156,3801960000
6/18/08,8999.55957,4573570000
6/19/08,8988.839844,4811670000
6/20/08,8829.25,5324900000
6/23/08,8841.889648,4186370000
6/24/08,8803.339844,4705050000
6/25/08,8865.799805,4825640000
6/26/08,8640.740234,5231280000
6/27/08,8623.509766,6208260000
6/30/08,8660.480469,5032330000
7/1/08,8641.280273,5846290000
7/2/08,8465.509766,5276090000
7/3/08,8481.540039,3247590000
7/7/08,8400.209961,5265420000
7/8/08,8515.790039,6034110000
7/9/08,8371.629883,5181000000
7/10/08,8435.94043,5840430000
7/11/08,8347.240234,6742200000
7/14/08,8287.759766,5434860000
7/15/08,8157.799805,7363640000
7/16/08,8332.820313,6738630000
7/17/08,8415.049805,7365210000
7/18/08,8453.849609,5653280000
7/21/08,8499.740234,4630640000
7/22/08,8566.650391,6180230000
7/23/08,8580.570313,6705830000
7/24/08,8369.910156,6127980000
7/25/08,8395.580078,4672560000
7/28/08,8260.19043,4282960000
7/29/08,8419.200195,5414240000
7/30/08,8565.30957,5631330000
7/31/08,8438.639648,5346050000
8/1/08,8379.150391,4684870000
8/4/08,8268.650391,4562280000
8/5/08,8471.849609,1219310000
8/6/08,8501.44043,4873420000
8/7/08,8338.400391,5319380000
8/8/08,8460.320313,4966810000
8/11/08,8492.94043,5067310000
8/12/08,8398.709961,4711290000
8/13/08,8375.389648,4787600000
8/14/08,8385.969727,4064000000
8/15/08,8383.669922,4041820000
8/18/08,8281.860352,3829290000
8/19/08,8212.469727,4159760000
8/20/08,8276.910156,4555030000
8/21/08,8314.139648,4032590000
8/22/08,8373.549805,3741070000
8/25/08,8229.030273,3420600000
8/26/08,8263.719727,3587570000
8/27/08,8349.839844,3499610000
8/28/08,8466.120117,3854280000
8/29/08,8382.080078,3288120000
9/2/08,8296.969727,4783560000
9/3/08,8269.25,5056980000
9/4/08,8008.25,5212500000
9/5/08,8033.759766,5017080000
9/8/08,8168.620117,7351340000
9/9/08,7871.149902,7380630000
9/10/08,7957.259766,6543440000
9/11/08,8011.25,6869250000
9/12/08,8091.839844,6273260000
9/15/08,7680.149902,8279510000
9/16/08,7793.129883,9459830000
9/17/08,7440.390137,9431870000
9/18/08,7775.160156,10082690000
9/19/08,8187.129883,9387170000
9/22/08,7918.609863,5368130000
9/23/08,7785.27002,5185730000
9/24/08,7768.819824,4820360000
9/25/08,7927.870117,5877640000
9/26/08,7890.370117,5383610000
9/29/08,7204.009766,7305060000
9/30/08,7532.799805,6065000000
10/1/08,7519.950195,5782130000
10/2/08,7155.410156,6285640000
10/3/08,7088.939941,6716120000
10/6/08,6754.910156,7956020000
10/7/08,6388.379883,7069210000
10/8/08,6306.350098,8716330000
10/9/08,5809.97998,8285670000
10/10/08,5704.129883,11456230000
10/13/08,6400.959961,7263370000
10/14/08,6380.529785,8161990000
10/15/08,5759.959961,6542330000
10/16/08,5970.899902,7984500000
10/17/08,5948.799805,6581780000
10/20/08,6287.600098,5175640000
10/21/08,6051.339844,5121830000
10/22/08,5630.470215,6147980000
10/23/08,5671.930176,7189900000
10/24/08,5427.540039,6550050000
10/27/08,5196.529785,5558050000
10/28/08,5733.450195,7096950000
10/29/08,5774.890137,7077800000
10/30/08,5975.029785,6175830000
10/31/08,6061.089844,6394350000
11/3/08,6054.97998,4492280000
11/4/08,6345.089844,5531290000
11/5/08,6012.169922,5426640000
11/6/08,5667.399902,6102230000
11/7/08,5871.97998,4931640000
11/10/08,5802.049805,4572000000
11/11/08,5634.370117,4998340000
11/12/08,5320.700195,5764180000
11/13/08,5715.790039,7849120000
11/14/08,5452.629883,5881030000
11/17/08,5323.359863,4927490000
11/18/08,5365.660156,6679470000
11/19/08,5011.990234,6548600000
11/20/08,4651.209961,9093740000
11/21/08,4959.790039,9495900000
11/24/08,5313.759766,7879440000
11/25/08,5375.359863,6952700000
11/26/08,5547.379883,5793260000
11/28/08,5599.299805,2740860000
12/1/08,5092.660156,6052010000
12/2/08,5308.950195,6170100000
12/3/08,5405.549805,6221880000
12/4/08,5232.259766,5860390000
12/5/08,5401.25,6165370000
12/8/08,5639.680176,6553600000
12/9/08,5522.459961,5693110000
12/10/08,5631.069824,5942130000
12/11/08,5504.72998,5513840000
12/12/08,5543.959961,5959590000
12/15/08,5497.899902,4982390000
12/16/08,5804.970215,6009780000
12/17/08,5769.799805,5907380000
12/18/08,5617.759766,5675000000
12/19/08,5616.120117,6705310000
12/22/08,5520.819824,4869850000
12/23/08,5468.279785,4051970000
12/24/08,5487.330078,1546550000
12/26/08,5538.189941,1880050000
12/29/08,5534.640137,3323430000
12/30/08,5670,3627800000
12/31/08,5757.049805,4172940000
1/2/09,5915.72998,4048270000
1/5/09,5908.430176,5413910000
1/6/09,5968.839844,5392620000
1/7/09,5799.049805,4704940000
1/8/09,5837.140137,4991550000
1/9/09,5702.370117,4716500000
1/12/09,5551.029785,4725050000
1/13/09,5538.839844,5567460000
1/14/09,5328.680176,5407880000
1/15/09,5347.75,7807350000
1/16/09,5387.5,6786040000
1/20/09,5058.060059,6375230000
1/21/09,5273.990234,6467830000
1/22/09,5171.680176,5843830000
1/23/09,5195.549805,5832160000
1/26/09,5244.609863,6039940000
1/27/09,5315.439941,5353260000
1/28/09,5501.459961,6199180000
1/29/09,5300.899902,5067060000
1/30/09,5195.790039,5350580000
2/2/09,5166.470215,5673270000
2/3/09,5268.02002,5886310000
2/4/09,5242.75,6420450000
2/5/09,5326.009766,6624030000
2/6/09,5475.279785,6484100000
2/9/09,5479.879883,5574370000
2/10/09,5214.709961,6770170000
2/11/09,5252.680176,5926460000
2/12/09,5256.450195,6476460000
2/13/09,5206.759766,5296650000
2/17/09,4939.109863,5907820000
2/18/09,4924.540039,5740710000
2/19/09,4881.160156,5746940000
2/20/09,4804.509766,8210590000
2/23/09,4633.779785,6509300000
2/24/09,4821.740234,7234490000
2/25/09,4753.169922,7483640000
2/26/09,4713.02002,7599970000
2/27/09,4617.029785,8926480000
3/2/09,4360.97998,7868290000
3/3/09,4334.700195,7583230000
3/4/09,4464.890137,7673620000
3/5/09,4267.600098,7507250000
3/6/09,4284.490234,7331830000
3/9/09,4226.310059,7277320000
3/10/09,4499.379883,8618330000
3/11/09,4505.379883,7287810000
3/12/09,4684.990234,7326630000
3/13/09,4721,6787090000
3/16/09,4728.910156,7883540000
3/17/09,4868.140137,6156800000
3/18/09,4975.299805,9098450000
3/19/09,4937.220215,9033870000
3/20/09,4832.129883,7643720000
3/23/09,5185.859863,7715770000
3/24/09,5064.330078,6767980000
3/25/09,5127,7687180000
3/26/09,5230.529785,6992960000
3/27/09,5096.640137,5600210000
3/30/09,4899.049805,5912660000
3/31/09,4978.97998,6089100000
4/1/09,5085.759766,6034140000
4/2/09,5267.100098,7542810000
4/3/09,5318.75,5855640000
4/6/09,5249.47998,6210000000
4/7/09,5120.669922,5155580000
4/8/09,5176.410156,5938460000
