Date,president_name,president_code
"Feb 24, 2020",Donald Trump,1
"Feb 23, 2020",Donald Trump,1
"Feb 22, 2020",Donald Trump,1
"Feb 21, 2020",Donald Trump,1
"Feb 20, 2020",Donald Trump,1
"Feb 19, 2020",Donald Trump,1
"Feb 18, 2020",Donald Trump,1
"Feb 17, 2020",Donald Trump,1
"Feb 16, 2020",Donald Trump,1
"Feb 15, 2020",Donald Trump,1
"Feb 14, 2020",Donald Trump,1
"Feb 13, 2020",Donald Trump,1
"Feb 12, 2020",Donald Trump,1
"Feb 11, 2020",Donald Trump,1
"Feb 10, 2020",Donald Trump,1
"Feb 09, 2020",Donald Trump,1
"Feb 08, 2020",Donald Trump,1
"Feb 07, 2020",Donald Trump,1
"Feb 06, 2020",Donald Trump,1
"Feb 05, 2020",Donald Trump,1
"Feb 04, 2020",Donald Trump,1
"Feb 03, 2020",Donald Trump,1
"Feb 02, 2020",Donald Trump,1
"Feb 01, 2020",Donald Trump,1
"Jan 31, 2020",Donald Trump,1
"Jan 30, 2020",Donald Trump,1
"Jan 29, 2020",Donald Trump,1
"Jan 28, 2020",Donald Trump,1
"Jan 27, 2020",Donald Trump,1
"Jan 26, 2020",Donald Trump,1
"Jan 25, 2020",Donald Trump,1
"Jan 24, 2020",Donald Trump,1
"Jan 23, 2020",Donald Trump,1
"Jan 22, 2020",Donald Trump,1
"Jan 21, 2020",Donald Trump,1
"Jan 20, 2020",Donald Trump,1
"Jan 19, 2020",Donald Trump,1
"Jan 18, 2020",Donald Trump,1
"Jan 17, 2020",Donald Trump,1
"Jan 16, 2020",Donald Trump,1
"Jan 15, 2020",Donald Trump,1
"Jan 14, 2020",Donald Trump,1
"Jan 13, 2020",Donald Trump,1
"Jan 12, 2020",Donald Trump,1
"Jan 11, 2020",Donald Trump,1
"Jan 10, 2020",Donald Trump,1
"Jan 09, 2020",Donald Trump,1
"Jan 08, 2020",Donald Trump,1
"Jan 07, 2020",Donald Trump,1
"Jan 06, 2020",Donald Trump,1
"Jan 05, 2020",Donald Trump,1
"Jan 04, 2020",Donald Trump,1
"Jan 03, 2020",Donald Trump,1
"Jan 02, 2020",Donald Trump,1
"Jan 01, 2020",Donald Trump,1
"Dec 31, 2019",Donald Trump,1
"Dec 30, 2019",Donald Trump,1
"Dec 29, 2019",Donald Trump,1
"Dec 28, 2019",Donald Trump,1
"Dec 27, 2019",Donald Trump,1
"Dec 26, 2019",Donald Trump,1
"Dec 25, 2019",Donald Trump,1
"Dec 24, 2019",Donald Trump,1
"Dec 23, 2019",Donald Trump,1
"Dec 22, 2019",Donald Trump,1
"Dec 21, 2019",Donald Trump,1
"Dec 20, 2019",Donald Trump,1
"Dec 19, 2019",Donald Trump,1
"Dec 18, 2019",Donald Trump,1
"Dec 17, 2019",Donald Trump,1
"Dec 16, 2019",Donald Trump,1
"Dec 15, 2019",Donald Trump,1
"Dec 14, 2019",Donald Trump,1
"Dec 13, 2019",Donald Trump,1
"Dec 12, 2019",Donald Trump,1
"Dec 11, 2019",Donald Trump,1
"Dec 10, 2019",Donald Trump,1
"Dec 09, 2019",Donald Trump,1
"Dec 08, 2019",Donald Trump,1
"Dec 07, 2019",Donald Trump,1
"Dec 06, 2019",Donald Trump,1
"Dec 05, 2019",Donald Trump,1
"Dec 04, 2019",Donald Trump,1
"Dec 03, 2019",Donald Trump,1
"Dec 02, 2019",Donald Trump,1
"Dec 01, 2019",Donald Trump,1
"Nov 30, 2019",Donald Trump,1
"Nov 29, 2019",Donald Trump,1
"Nov 28, 2019",Donald Trump,1
"Nov 27, 2019",Donald Trump,1
"Nov 26, 2019",Donald Trump,1
"Nov 25, 2019",Donald Trump,1
"Nov 24, 2019",Donald Trump,1
"Nov 23, 2019",Donald Trump,1
"Nov 22, 2019",Donald Trump,1
"Nov 21, 2019",Donald Trump,1
"Nov 20, 2019",Donald Trump,1
"Nov 19, 2019",Donald Trump,1
"Nov 18, 2019",Donald Trump,1
"Nov 17, 2019",Donald Trump,1
"Nov 16, 2019",Donald Trump,1
"Nov 15, 2019",Donald Trump,1
"Nov 14, 2019",Donald Trump,1
"Nov 13, 2019",Donald Trump,1
"Nov 12, 2019",Donald Trump,1
"Nov 11, 2019",Donald Trump,1
"Nov 10, 2019",Donald Trump,1
"Nov 09, 2019",Donald Trump,1
"Nov 08, 2019",Donald Trump,1
"Nov 07, 2019",Donald Trump,1
"Nov 06, 2019",Donald Trump,1
"Nov 05, 2019",Donald Trump,1
"Nov 04, 2019",Donald Trump,1
"Nov 03, 2019",Donald Trump,1
"Nov 02, 2019",Donald Trump,1
"Nov 01, 2019",Donald Trump,1
"Oct 31, 2019",Donald Trump,1
"Oct 30, 2019",Donald Trump,1
"Oct 29, 2019",Donald Trump,1
"Oct 28, 2019",Donald Trump,1
"Oct 27, 2019",Donald Trump,1
"Oct 26, 2019",Donald Trump,1
"Oct 25, 2019",Donald Trump,1
"Oct 24, 2019",Donald Trump,1
"Oct 23, 2019",Donald Trump,1
"Oct 22, 2019",Donald Trump,1
"Oct 21, 2019",Donald Trump,1
"Oct 20, 2019",Donald Trump,1
"Oct 19, 2019",Donald Trump,1
"Oct 18, 2019",Donald Trump,1
"Oct 17, 2019",Donald Trump,1
"Oct 16, 2019",Donald Trump,1
"Oct 15, 2019",Donald Trump,1
"Oct 14, 2019",Donald Trump,1
"Oct 13, 2019",Donald Trump,1
"Oct 12, 2019",Donald Trump,1
"Oct 11, 2019",Donald Trump,1
"Oct 10, 2019",Donald Trump,1
"Oct 09, 2019",Donald Trump,1
"Oct 08, 2019",Donald Trump,1
"Oct 07, 2019",Donald Trump,1
"Oct 06, 2019",Donald Trump,1
"Oct 05, 2019",Donald Trump,1
"Oct 04, 2019",Donald Trump,1
"Oct 03, 2019",Donald Trump,1
"Oct 02, 2019",Donald Trump,1
"Oct 01, 2019",Donald Trump,1
"Sep 30, 2019",Donald Trump,1
"Sep 29, 2019",Donald Trump,1
"Sep 28, 2019",Donald Trump,1
"Sep 27, 2019",Donald Trump,1
"Sep 26, 2019",Donald Trump,1
"Sep 25, 2019",Donald Trump,1
"Sep 24, 2019",Donald Trump,1
"Sep 23, 2019",Donald Trump,1
"Sep 22, 2019",Donald Trump,1
"Sep 21, 2019",Donald Trump,1
"Sep 20, 2019",Donald Trump,1
"Sep 19, 2019",Donald Trump,1
"Sep 18, 2019",Donald Trump,1
"Sep 17, 2019",Donald Trump,1
"Sep 16, 2019",Donald Trump,1
"Sep 15, 2019",Donald Trump,1
"Sep 14, 2019",Donald Trump,1
"Sep 13, 2019",Donald Trump,1
"Sep 12, 2019",Donald Trump,1
"Sep 11, 2019",Donald Trump,1
"Sep 10, 2019",Donald Trump,1
"Sep 09, 2019",Donald Trump,1
"Sep 08, 2019",Donald Trump,1
"Sep 07, 2019",Donald Trump,1
"Sep 06, 2019",Donald Trump,1
"Sep 05, 2019",Donald Trump,1
"Sep 04, 2019",Donald Trump,1
"Sep 03, 2019",Donald Trump,1
"Sep 02, 2019",Donald Trump,1
"Sep 01, 2019",Donald Trump,1
"Aug 31, 2019",Donald Trump,1
"Aug 30, 2019",Donald Trump,1
"Aug 29, 2019",Donald Trump,1
"Aug 28, 2019",Donald Trump,1
"Aug 27, 2019",Donald Trump,1
"Aug 26, 2019",Donald Trump,1
"Aug 25, 2019",Donald Trump,1
"Aug 24, 2019",Donald Trump,1
"Aug 23, 2019",Donald Trump,1
"Aug 22, 2019",Donald Trump,1
"Aug 21, 2019",Donald Trump,1
"Aug 20, 2019",Donald Trump,1
"Aug 19, 2019",Donald Trump,1
"Aug 18, 2019",Donald Trump,1
"Aug 17, 2019",Donald Trump,1
"Aug 16, 2019",Donald Trump,1
"Aug 15, 2019",Donald Trump,1
"Aug 14, 2019",Donald Trump,1
"Aug 13, 2019",Donald Trump,1
"Aug 12, 2019",Donald Trump,1
"Aug 11, 2019",Donald Trump,1
"Aug 10, 2019",Donald Trump,1
"Aug 09, 2019",Donald Trump,1
"Aug 08, 2019",Donald Trump,1
"Aug 07, 2019",Donald Trump,1
"Aug 06, 2019",Donald Trump,1
"Aug 05, 2019",Donald Trump,1
"Aug 04, 2019",Donald Trump,1
"Aug 03, 2019",Donald Trump,1
"Aug 02, 2019",Donald Trump,1
"Aug 01, 2019",Donald Trump,1
"Jul 31, 2019",Donald Trump,1
"Jul 30, 2019",Donald Trump,1
"Jul 29, 2019",Donald Trump,1
"Jul 28, 2019",Donald Trump,1
"Jul 27, 2019",Donald Trump,1
"Jul 26, 2019",Donald Trump,1
"Jul 25, 2019",Donald Trump,1
"Jul 24, 2019",Donald Trump,1
"Jul 23, 2019",Donald Trump,1
"Jul 22, 2019",Donald Trump,1
"Jul 21, 2019",Donald Trump,1
"Jul 20, 2019",Donald Trump,1
"Jul 19, 2019",Donald Trump,1
"Jul 18, 2019",Donald Trump,1
"Jul 17, 2019",Donald Trump,1
"Jul 16, 2019",Donald Trump,1
"Jul 15, 2019",Donald Trump,1
"Jul 14, 2019",Donald Trump,1
"Jul 13, 2019",Donald Trump,1
"Jul 12, 2019",Donald Trump,1
"Jul 11, 2019",Donald Trump,1
"Jul 10, 2019",Donald Trump,1
"Jul 09, 2019",Donald Trump,1
"Jul 08, 2019",Donald Trump,1
"Jul 07, 2019",Donald Trump,1
"Jul 06, 2019",Donald Trump,1
"Jul 05, 2019",Donald Trump,1
"Jul 04, 2019",Donald Trump,1
"Jul 03, 2019",Donald Trump,1
"Jul 02, 2019",Donald Trump,1
"Jul 01, 2019",Donald Trump,1
"Jun 30, 2019",Donald Trump,1
"Jun 29, 2019",Donald Trump,1
"Jun 28, 2019",Donald Trump,1
"Jun 27, 2019",Donald Trump,1
"Jun 26, 2019",Donald Trump,1
"Jun 25, 2019",Donald Trump,1
"Jun 24, 2019",Donald Trump,1
"Jun 23, 2019",Donald Trump,1
"Jun 22, 2019",Donald Trump,1
"Jun 21, 2019",Donald Trump,1
"Jun 20, 2019",Donald Trump,1
"Jun 19, 2019",Donald Trump,1
"Jun 18, 2019",Donald Trump,1
"Jun 17, 2019",Donald Trump,1
"Jun 16, 2019",Donald Trump,1
"Jun 15, 2019",Donald Trump,1
"Jun 14, 2019",Donald Trump,1
"Jun 13, 2019",Donald Trump,1
"Jun 12, 2019",Donald Trump,1
"Jun 11, 2019",Donald Trump,1
"Jun 10, 2019",Donald Trump,1
"Jun 09, 2019",Donald Trump,1
"Jun 08, 2019",Donald Trump,1
"Jun 07, 2019",Donald Trump,1
"Jun 06, 2019",Donald Trump,1
"Jun 05, 2019",Donald Trump,1
